"_id","type","properties","geometry"
"65f1a72d24cfb376c41da365","Feature","{""GRID_ID"":""N-13"",""ORIGIN_ID"":1,""LAT"":1.285774151,""LONG"":103.845728405,""COORD"":""(103.845728405, 1.285774151)""}","{""type"":""Point"",""coordinates"":[103.84572840500005,1.285774151000055]}"
"65f1a72d24cfb376c41da367","Feature","{""GRID_ID"":""P-13"",""ORIGIN_ID"":3,""LAT"":1.285774151,""LONG"":103.848096138,""COORD"":""(103.848096138, 1.285774151)""}","{""type"":""Point"",""coordinates"":[103.84809613800007,1.285774151000055]}"
"65f1a72d24cfb376c41da36c","Feature","{""GRID_ID"":""L-12"",""ORIGIN_ID"":8,""LAT"":1.287141162,""LONG"":103.843360672,""COORD"":""(103.843360672, 1.287141162)""}","{""type"":""Point"",""coordinates"":[103.84336067200007,1.287141162000069]}"
"65f1a72d24cfb376c41da36e","Feature","{""GRID_ID"":""N-12"",""ORIGIN_ID"":10,""LAT"":1.287141162,""LONG"":103.845728405,""COORD"":""(103.845728405, 1.287141162)""}","{""type"":""Point"",""coordinates"":[103.84572840500005,1.287141162000069]}"
"65f1a72d24cfb376c41da371","Feature","{""GRID_ID"":""Q-12"",""ORIGIN_ID"":13,""LAT"":1.286457656,""LONG"":103.849280005,""COORD"":""(103.849280005, 1.286457656)""}","{""type"":""Point"",""coordinates"":[103.84928000500008,1.286457656000039]}"
"65f1a72d24cfb376c41da373","Feature","{""GRID_ID"":""E-11"",""ORIGIN_ID"":15,""LAT"":1.287824668,""LONG"":103.835073606,""COORD"":""(103.835073606, 1.287824668)""}","{""type"":""Point"",""coordinates"":[103.83507360600004,1.287824668000042]}"
"65f1a72d24cfb376c41da374","Feature","{""GRID_ID"":""F-11"",""ORIGIN_ID"":16,""LAT"":1.288508173,""LONG"":103.836257473,""COORD"":""(103.836257473, 1.288508173)""}","{""type"":""Point"",""coordinates"":[103.83625747300005,1.288508173000025]}"
"65f1a72d24cfb376c41da376","Feature","{""GRID_ID"":""H-11"",""ORIGIN_ID"":18,""LAT"":1.288508173,""LONG"":103.838625206,""COORD"":""(103.838625206, 1.288508173)""}","{""type"":""Point"",""coordinates"":[103.83862520600007,1.288508173000025]}"
"65f1a72d24cfb376c41da378","Feature","{""GRID_ID"":""K-11"",""ORIGIN_ID"":20,""LAT"":1.287824668,""LONG"":103.842176806,""COORD"":""(103.842176806, 1.287824668)""}","{""type"":""Point"",""coordinates"":[103.84217680600005,1.287824668000042]}"
"65f1a72d24cfb376c41da380","Feature","{""GRID_ID"":""E-10"",""ORIGIN_ID"":28,""LAT"":1.289191679,""LONG"":103.835073606,""COORD"":""(103.835073606, 1.289191679)""}","{""type"":""Point"",""coordinates"":[103.83507360600004,1.289191679000055]}"
