"_id","type","properties","geometry"
"65f9adad8419e9b6fab8ff8d","Feature","{""fid"":435,""type"":""BUSSTOP"",""layer"":""BUSSTOP"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=BUSSTOP"",""x"":29341.5095137293,""y"":31297.008518301,""LONG"":103.8453726427,""LAT"":1.299313513,""COORD"":""(1.299313513, 103.8453726427)""}","{""type"":""Point"",""coordinates"":[103.8453726427262,1.299313512973407]}"
"65f9adad8419e9b6fab8ff8e","Feature","{""fid"":704,""type"":""BUSSTOP"",""layer"":""BUSSTOP"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=BUSSTOP"",""x"":29825.8895137291,""y"":30621.2866182998,""LONG"":103.8497249745,""LAT"":1.2932024974,""COORD"":""(1.2932024974, 103.8497249745)""}","{""type"":""Point"",""coordinates"":[103.84972497445663,1.293202497370733]}"
"65f9adad8419e9b6fab8ff8f","Feature","{""fid"":839,""type"":""BUSSTOP"",""layer"":""BUSSTOP"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=BUSSTOP"",""x"":28444.6773137292,""y"":30126.0469183009,""LONG"":103.8373141875,""LAT"":1.2887237736,""COORD"":""(1.2887237736, 103.8373141875)""}","{""type"":""Point"",""coordinates"":[103.83731418746595,1.28872377364386]}"
"65f9adad8419e9b6fab8ff90","Feature","{""fid"":851,""type"":""BUSSTOP"",""layer"":""BUSSTOP"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=BUSSTOP"",""x"":29387.1274137292,""y"":29908.881318301,""LONG"":103.8457824788,""LAT"":1.2867597768,""COORD"":""(1.2867597768, 103.8457824788)""}","{""type"":""Point"",""coordinates"":[103.84578247881612,1.286759776765395]}"
"65f9adad8419e9b6fab8ff91","Feature","{""fid"":965,""type"":""BUSSTOP"",""layer"":""BUSSTOP"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=BUSSTOP"",""x"":28865.6723137293,""y"":30537.5960183013,""LONG"":103.8410970116,""LAT"":1.2924456703,""COORD"":""(1.2924456703, 103.8410970116)""}","{""type"":""Point"",""coordinates"":[103.84109701160197,1.292445670317444]}"
"65f9adad8419e9b6fab8ff92","Feature","{""fid"":974,""type"":""BUSSTOP"",""layer"":""BUSSTOP"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=BUSSTOP"",""x"":27859.9848137293,""y"":30819.3864182998,""LONG"":103.8320604823,""LAT"":1.2949940953,""COORD"":""(1.2949940953, 103.8320604823)""}","{""type"":""Point"",""coordinates"":[103.83206048225148,1.294994095258956]}"
"65f9adad8419e9b6fab8ff93","Feature","{""fid"":975,""type"":""BUSSTOP"",""layer"":""BUSSTOP"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=BUSSTOP"",""x"":29882.7274137298,""y"":30729.481518300297,""LONG"":103.8502356937,""LAT"":1.2941809706,""COORD"":""(1.2941809706, 103.8502356937)""}","{""type"":""Point"",""coordinates"":[103.850235693664,1.294180970600269]}"
"65f9adad8419e9b6fab8ff94","Feature","{""fid"":1011,""type"":""BUSSTOP"",""layer"":""BUSSTOP"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=BUSSTOP"",""x"":29666.2474137293,""y"":29957.5298183002,""LONG"":103.8482904872,""LAT"":1.2871997231,""COORD"":""(1.2871997231, 103.8482904872)""}","{""type"":""Point"",""coordinates"":[103.84829048715092,1.287199723149467]}"
"65f9adad8419e9b6fab8ff95","Feature","{""fid"":1018,""type"":""BUSSTOP"",""layer"":""BUSSTOP"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=BUSSTOP"",""x"":29755.2101137294,""y"":31076.2357183006,""LONG"":103.8490899154,""LAT"":1.2973169009,""COORD"":""(1.2973169009, 103.8490899154)""}","{""type"":""Point"",""coordinates"":[103.84908991536338,1.297316900946957]}"
"65f9adad8419e9b6fab8ff96","Feature","{""fid"":1045,""type"":""BUSSTOP"",""layer"":""BUSSTOP"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=BUSSTOP"",""x"":29115.38351373,""y"":30021.2807183005,""LONG"":103.8433407542,""LAT"":1.2877762883,""COORD"":""(1.2877762883, 103.8433407542)""}","{""type"":""Point"",""coordinates"":[103.84334075421741,1.287776288279452]}"
"65f9adad8419e9b6fab8ff97","Feature","{""fid"":1064,""type"":""BUSSTOP"",""layer"":""BUSSTOP"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=BUSSTOP"",""x"":29004.1942137294,""y"":30718.6772183012,""LONG"":103.8423416953,""LAT"":1.2940833009,""COORD"":""(1.2940833009, 103.8423416953)""}","{""type"":""Point"",""coordinates"":[103.84234169529903,1.294083300886089]}"
